Elevation [m],Deflection [cm],Moment [kN-m],Shear [kN],Soil Reaction [kN/m]
14.8,0.0499,-8950,673,0
14.15,0.0498,-8510,679,0
13.49,0.0495,-8060,685,0
12.84,0.0491,-7610,690,0
12.18,0.0484,-7160,695,0
11.53,0.0477,-6700,700,0
10.87,0.0467,-6240,705,0
10.22,0.0456,-5780,709,0
9.56,0.0445,-5310,713,0
8.91,0.0431,-4850,716,0
8.25,0.0417,-4380,719,0
7.6,0.0402,-3910,722,0
6.95,0.0386,-3430,725,0
6.29,0.0369,-2960,727,0
5.64,0.0352,-2480,729,0
4.98,0.0334,-2000,730,0
4.33,0.0316,-1520,732,0
3.67,0.0297,-1040,732,0
3.02,0.0278,-565,733,0
2.36,0.0259,-85,733,0
1.71,0.024,395,733,0
1.05,0.0221,875,733,0
0.4,0.0202,1350,732,0
-0.25,0.0183,1830,730,-1.55
-0.91,0.0165,2310,727,-5.18
-1.56,0.0148,2780,721,-8.24
-2.22,0.0131,3250,712,-10.6
-2.87,0.0114,3720,702,-12.3
-3.53,0.00988,4170,688,-24.5
-4.18,0.00842,4620,668,-25.4
-4.84,0.00707,5050,648,-25.2
-5.49,0.00583,5470,498,-422
-6.15,0.0047,5700,229,-390
-6.8,0.0037,5760,-17.7,-350
-7.45,0.00283,5680,-231,-289
-8.11,0.00208,5460,-403,-224
-8.76,0.00145,5150,-544,-196
-9.42,0.000938,4750,-664,-161
-10.07,0.000527,4280,-758,-118
-10.73,0.00021,3760,-816,-50
-11.38,-0.0000249,3210,-833,6.29
-12.04,-0.000189,2670,-814,58.8
-12.69,-0.000295,2150,-764,96.7
-13.35,-0.000354,1670,-694,122
-14,-0.000376,1240,-611,136
-14.65,-0.000372,867,-521,140
-15.31,-0.000348,556,-431,137
-15.96,-0.000312,304,-344,128
-16.62,-0.000269,106,-264,115
-17.27,-0.000224,-42.6,-194,99.7
-17.93,-0.00018,-148,-134,83.1
-18.58,-0.000139,-218,-80.9,79.4
-19.24,-0.000103,-254,-34.8,60.8
-19.89,-0.0000721,-264,-0.32,44.2
-20.55,-0.0000473,-255,24.1,30
-21.2,-0.0000282,-232,40.1,18.4
-21.85,-0.0000141,-202,49.4,9.51
-22.51,-0.00000451,-168,53.7,3.12
-23.16,0.00000145,-132,54.5,-1.03
-23.82,0.00000451,-96.3,53.1,-3.31
-24.47,0.00000546,-62.2,48.9,-9.88
-25.13,0.00000504,-32.3,40.8,-15
-25.78,0.00000392,-8.86,30,-18
-26.44,0.0000026,6.92,18,-18.5
-27.09,0.00000143,14.8,6.51,-16.7
-27.75,0.000000592,15.4,-2.61,-11.2
-28.4,8.76E-08,11.3,-6.82,-1.69
-29.05,-0.000000168,6.52,-6.3,3.31
-29.71,-0.00000028,3.1,-3.36,5.66
-30.36,-0.000000325,2.11,-1.37,0.428
-31.02,-0.000000323,1.31,-1.09,0.434
-31.67,-0.000000292,0.684,-0.818,0.401
-32.33,-0.000000246,0.235,-0.574,0.346
-32.98,-0.000000196,-0.0672,-0.369,0.28
-33.64,-0.000000146,-0.249,-0.208,0.214
-34.29,-0.000000103,-0.339,-0.0876,0.153
-34.95,-6.62E-08,-0.364,-0.00448,0.1
-35.6,-3.78E-08,-0.345,0.0477,0.0584
-36.25,-0.000000017,-0.301,0.0758,0.0267
-36.91,-2.72E-09,-0.246,0.0862,0.00435
-37.56,6.13E-09,-0.188,0.0845,-0.01
-38.22,1.09E-08,-0.135,0.0754,-0.018
-38.87,1.26E-08,-0.0896,0.0626,-0.0213
-39.53,1.24E-08,-0.0531,0.0488,-0.0213
-40.18,0.000000011,-0.0257,0.0355,-0.0192
-40.84,9.1E-09,-0.0066,0.024,-0.0161
-41.49,7.02E-09,0.00563,0.0145,-0.0126
-42.15,5.06E-09,0.0124,0.00737,-0.00926
-42.8,3.38E-09,0.0153,0.00228,-0.00627
-43.45,2.03E-09,0.0154,-0.00104,-0.00382
-44.11,1.02E-09,0.0139,-0.00294,-0.00195
-44.76,3.11E-10,0.0116,-0.00378,-0.000604
-45.42,-1.41E-10,0.00897,-0.00389,0.000279
-46.07,-3.97E-10,0.00648,-0.00355,0.000793
-46.73,-5.1E-10,0.00433,-0.00295,0.00103
-47.38,-5.28E-10,0.00261,-0.00226,0.00109
-48.04,-4.89E-10,0.00136,-0.00157,0.00102
-48.69,-4.2E-10,0.000552,-0.00095,0.000888
-49.35,-3.39E-10,0.000121,0.00557,0.000727
-50,-2.56E-10,0,0,0.000555
