Elevation [m],N [kN],V [kN],M [kNm]
14.8,-20655.00000000093,665.8451764900237,8894.993901009206
14.6,-20655.00000000093,665.8451764900237,8761.8248657112
14.6,-20654.99999999907,667.7019321266562,8761.802496632561
14.4,-20654.99999999907,667.7019321266562,8628.26211020723
14.4,-20654.999999998137,669.5303838700056,8628.239679313032
14.2,-20654.999999998137,669.5303838700056,8494.33360253903
14.2,-20655.0,671.3304542042315,8494.311110779876
14.0,-20655.0,671.3304542042315,8360.04501993903
14.0,-20654.999999997206,673.102066827938,8360.022468268173
13.8,-20654.999999997206,673.102066827938,8225.402054902586
13.8,-20654.999999998137,674.8451466485858,8225.379444274819
13.6,-20654.999999998137,674.8451466485858,8090.4104149451005
13.6,-20654.999999998137,676.5596197675914,8090.38774632127
13.4,-20654.999999998137,676.5596197675914,7955.075822367752
13.4,-20654.999999996275,678.2454135157168,7955.053096707212
13.2,-20654.999999996275,678.2454135157168,7819.404014004068
13.2,-20654.999999998137,679.902456432581,7819.38123227004
13.0,-20654.999999998137,679.902456432581,7683.400740983524
13.0,-20654.999999998137,681.5306782759726,7683.377904141322
12.8,-20654.999999998137,681.5306782759726,7547.071768486127
12.8,-20654.999999994412,683.1300100255758,7547.048877506051
12.6,-20654.999999994412,683.1300100255758,7410.422875500935
12.6,-20654.999999998137,684.700383875519,7410.399931350956
12.4,-20654.999999998137,684.700383875519,7273.459854575853
12.4,-20654.999999998137,686.2417332734913,7273.436858229339
12.2,-20654.999999998137,686.2417332734913,7136.18851157464
12.2,-20654.999999997206,687.75399287045,7136.165464006364
12.0,-20654.999999997206,687.75399287045,6998.614665432275
12.0,-20654.999999994412,689.2370985653251,6998.5915676199365
11.8,-20654.999999994412,689.2370985653251,6860.744147906872
11.8,-20654.999999994412,690.6909874808043,6860.72100082878
11.6,-20654.999999994412,690.6909874808043,6722.582803332619
11.6,-20654.999999996275,692.115598000586,6722.559607970528
11.4,-20654.999999996275,692.115598000586,6584.136488370412
11.4,-20654.999999995343,693.5108697414398,6584.113245707471
11.2,-20654.999999995343,693.5108697414398,6445.411071759182
11.2,-20654.999999995343,694.8767435308546,6445.387782780686
11.0,-20654.999999995343,694.8767435308546,6306.412434074516
11.0,-20654.999999997206,696.2131614908576,6306.3890997662675
10.8,-20654.999999997206,696.2131614908576,6167.1464674680965
10.8,-20655.000000001863,697.5200669653714,6167.123088820837
10.6,-20655.000000001863,697.5200669653714,6027.619075427762
10.6,-20654.999999998137,698.7974045518786,6027.595653432189
10.4,-20654.999999998137,698.7974045518786,5887.836172521814
10.4,-20655.000000003725,700.04512010701,5887.812708170852
10.2,-20655.000000003725,700.04512010701,5747.803684149449
10.2,-20655.000000001863,701.2631607335061,5747.780178437941
10.0,-20655.000000001863,701.2631607335061,5607.5275462912405
10.0,-20655.000000005588,702.4514748007059,5607.504000215093
9.8,-20655.000000005588,702.4514748007059,5467.013705254952
9.8,-20655.000000005588,703.6100119482726,5466.990119811846
9.6,-20655.000000005588,703.6100119482726,5326.268117422191
9.6,-20655.000000004657,704.7387230489403,5326.24449361302
9.4,-20655.000000004657,704.7387230489403,5185.296749003232
9.4,-20655.000000005588,705.8375602699816,5185.273087829119
9.2,-20655.000000005588,705.8375602699816,5044.105575775122
9.2,-20655.000000005588,706.9064770247787,5044.08187823859
9.0,-20655.000000005588,706.9064770247787,4902.700582833635
9.0,-20655.000000005588,707.9454280007631,4902.676849939162
8.8,-20655.000000005588,707.9454280007631,4761.0877643390095
8.8,-20655.000000005588,708.9543691556901,4761.06399709289
8.6,-20655.000000005588,708.9543691556901,4619.273123261751
8.6,-20655.000000004657,709.933257734403,4619.249322671909
8.4,-20655.000000004657,709.933257734403,4477.262671125029
8.4,-20655.000000005588,710.8820522259921,4477.238838199526
8.2,-20655.000000005588,710.8820522259921,4335.062427754327
8.2,-20655.000000009313,711.8007124233991,4335.038563504815
8.0,-20655.000000009313,711.8007124233991,4192.678421020136
8.0,-20655.000000004657,712.6891993656754,4192.654526456492
7.8,-20655.000000004657,712.6891993656754,4050.1166865833566
7.8,-20655.000000005588,713.5474754087627,4050.092762719607
7.6,-20655.000000005588,713.5474754087627,3907.3832676378543
7.6,-20655.000000003725,714.3755041640252,3907.3593154882547
7.4,-20655.000000003725,714.3755041640252,3764.48421465545
7.4,-20655.000000001863,715.1732505336404,3764.460235234117
7.2,-20655.000000001863,715.1732505336404,3621.425585127389
7.2,-20655.000000002794,715.9406806863844,3621.40157945198
7.0,-20655.000000002794,715.9406806863844,3478.213443314703
7.0,-20655.000000002794,716.6777621069923,3478.189412402222
6.8,-20655.000000002794,716.6777621069923,3334.8538599808235
6.8,-20655.000000002794,717.384463544935,3334.8298048502766
6.6,-20655.000000002794,717.384463544935,3191.3529121412894
6.6,-20654.999999998137,718.0607550516725,3191.328833812382
6.4,-20654.999999998137,718.0607550516725,3047.716682802048
6.4,-20654.99999999348,718.706607952714,3047.692582295276
6.2,-20654.99999999348,718.706607952714,2903.951260704733
6.2,-20654.99999999348,719.3219948634505,2903.9271390420618
6.0,-20654.99999999348,719.3219948634505,2760.0627400693716
6.0,-20654.99999999348,719.90688970685,2760.038598272484
5.8,-20654.99999999348,719.90688970685,2616.0572203311135
5.8,-20654.99999999348,720.461267683655,2616.0330594246043
5.6,-20654.99999999348,720.461267683655,2471.940805887873
5.6,-20654.99999999255,720.9851052965969,2471.91662689473
5.4,-20654.99999999255,720.9851052965969,2327.719605835411
5.4,-20654.999999991618,721.4783803401515,2327.6954097815324
5.2,-20654.999999991618,721.4783803401515,2183.399733713502
5.2,-20654.999999991618,721.9410719051957,2183.3755216241116
5.0,-20654.999999991618,721.9410719051957,2038.9873072430723
5.0,-20654.999999991618,722.3731603734195,2038.9630801442545
4.8,-20654.999999991618,722.3731603734195,1894.4884480695705
4.8,-20654.99999999255,722.7746274368837,1894.4642069884576
4.6,-20654.99999999255,722.7746274368837,1749.9092815010806
4.6,-20654.99999998696,723.1454560700804,1749.8850274654105
4.4,-20654.99999998696,723.1454560700804,1605.255936251395
4.4,-20654.99999998603,723.4856305522844,1605.2316702893004
4.2,-20654.99999998603,723.4856305522844,1460.5345441788434
4.2,-20654.999999988824,723.7951364703476,1460.510267318692
4.0,-20654.999999988824,723.7951364703476,1315.7512400246223
4.0,-20654.999999987893,724.073960704729,1315.726953295758
3.8,-20654.999999987893,724.073960704729,1170.912161154812
3.8,-20654.999999990687,724.3220914294943,1170.8878655867884
3.6,-20654.999999990687,724.3220914294943,1026.0234473008898
3.6,-20654.99999998696,724.5395181365311,1025.9991439237492
3.4,-20654.99999998696,724.5395181365311,881.0912402964428
3.4,-20654.999999984168,724.72623159457,881.0669301402522
3.2,-20654.999999984168,724.72623159457,736.1216838213384
3.2,-20654.999999983236,724.8822238976136,736.0973679166054
3.0,-20654.999999983236,724.8822238976136,591.1209231370826
3.0,-20654.999999980442,725.0074884323403,591.0966025141533
2.8,-20654.999999980442,725.0074884323403,446.0951048276852
2.8,-20654.999999980442,725.1020198902115,446.07078051846474
2.6,-20654.999999980442,725.1020198902115,301.05037654042263
2.6,-20654.999999983236,725.1658142600209,301.02604957518633
2.4,-20654.999999983236,725.1658142600209,155.99288672318204
2.4,-20654.999999984168,725.1988688390702,155.96855813323054
2.2,-20654.999999984168,725.1988688390702,10.928784365416703
2.2,-20654.99999998696,725.2011822294444,10.904455181909725
2.0,-20654.99999998696,725.2011822294444,-134.13578126397928
2.0,-20654.999999988824,725.1727543314919,-134.1601100093685
1.8,-20654.999999988824,725.1727543314919,-279.19466087566684
1.8,-20654.999999987893,725.1135863503441,-279.2189881511731
1.6,-20654.999999987893,725.1135863503441,-424.24170542124193
1.6,-20654.999999991618,725.0236807912588,-424.2660301964497
1.4,-20654.999999991618,725.0236807912588,-569.2707663547017
1.4,-20654.999999998137,724.9030414652079,-569.2950875981478
1.2,-20654.999999998137,724.9030414652079,-714.2756958911893
1.2,-20654.999999997206,724.7516734879464,-714.3000125715043
1.0,-20654.999999997206,724.7516734879464,-859.2503472690936
1.0,-20654.999999996275,724.569583277218,-859.2746583565604
0.8,-20654.999999996275,724.569583277218,-1004.188575012004
0.8,-20654.999999995343,724.3567785508931,-1004.2128794752061
0.6,-20654.999999995343,724.3567785508931,-1149.0842351853848
0.6,-20654.999999994412,724.1132683288306,-1149.1085319942795
0.4,-20654.999999994412,724.1132683288306,-1293.9311856600457
0.4,-20654.99999999907,723.8390629375353,-1293.9554737844737
