diameter[m],length[m],factored-axial-load[kN],allpile-lateral-load[kN],openpile-lateral-load[kN]
1.5,30,6995,255,249.2521929
1.5,35,8990,246.4,244.4198836
1.5,40,10975,246,239.6069295
1.5,45,12960,242.8,234.7894511
1.5,50,14940,229.3,229.9791097
2,30,9990,717,689.9229012
2,35,12670,698,683.8784218
2,40,15340,704,677.8516337
2,45,18000,702,671.8442336
2,50,20655,673,665.8448801
2.5,30,13310,1538,1461.346103
2.5,35,16690,1529.51,1454.203359
2.5,40,20050,1522.3,1447.095653
2.5,45,23395,1522.56,1440.018894
2.5,50,26735,1473.67,1432.95036
