p[kN/m]@2m,p[kN/m]@2m,p[kN/m]@4m,p[kN/m]@4m,p[kN/m]@10m,p[kN/m]@10m,p[kN/m]@15m,p[kN/m]@15m,p[kN/m]@25m,p[kN/m]@25m,p[kN/m]@50m,p[kN/m]@50m
0,0,0,0,0,0,0,0,0,0,0,0
3.78E-06,2.81E-05,4.29E-06,2.77E-06,7.3120294,3.48E-05,18.184986,4.89E-05,176.82503,1.60E-05,249.27383,0.000129072
9.31E-05,0.000140316,5.93E-05,1.39E-05,14.623824,6.96E-05,36.369392,9.77E-05,300.74875,8.00E-05,498.53967,0.000258144
0.000237309,0.000224506,1.28E-04,2.22E-05,21.93515,0.000104433,54.552628,0.000146555,351.2072,0.000128,747.78955,0.000387216
0.000370008,0.000280633,1.84E-04,2.77E-05,29.245773,0.000139244,72.734116,0.000195406,378.0452,0.00016,997.01544,0.000516287
0.001470301,0.000561266,5.69E-04,5.54E-05,36.555458,0.000174055,90.91328,0.000244258,475.2079,0.00032,1246.2094,0.000645359
0.009109587,0.001403164,0.002536164,0.000138529,43.86397,0.000208867,109.089516,0.000293109,642.98944,0.0008,1495.3633,0.000774431
0.023216449,0.002245063,0.005459322,0.000221647,51.171078,0.000243678,127.26227,0.000341961,750.86774,0.00128,1744.4694,0.000903503
0.029350396,0.002525696,0.006615748,0.000249353,58.476547,0.000278489,145.43094,0.000390812,780.6274,0.00144,1993.5195,0.001032575
0.03619874,0.002806329,0.007856313,0.000277059,65.78014,0.0003133,163.59496,0.000439664,808.24634,0.0016,2242.5059,0.001161647
0.06567352,0.003785345,0.012697194,0.000371864,73.081635,0.000348111,181.75372,0.000488515,873.62726,0.002025307,2491.4204,0.001290718
0.09844054,0.004638928,0.017412968,0.000451308,80.38078,0.000382922,199.90668,0.000537367,890.4991,0.002146173,2740.2551,0.00141979
0.10700776,0.004837543,0.023715997,0.000545411,87.67736,0.000417733,218.05324,0.000586219,929.09814,0.002440661,2989.0022,0.001548862
0.15851311,0.00589329,0.026352648,0.000581823,94.97113,0.000452544,236.19283,0.00063507,929.2412,0.0024418,3237.6536,0.001677934
0.16225244,0.005962729,0.027883193,0.000602312,102.26186,0.000487355,254.32484,0.000683922,946.7322,0.002583756,3486.2017,0.001807006
0.16561826,0.006024553,0.034520604,0.000686551,109.54933,0.000522166,272.44876,0.000732773,1029.0454,0.003326373,3734.638,0.001936078
0.21670796,0.006895843,0.03570029,0.00070084,116.8333,0.000556977,290.56393,0.000781625,1029.3213,0.003329076,3982.9553,0.00206515
0.27954742,0.00783686,0.037165318,0.000718334,124.11353,0.000591788,308.66986,0.000830476,1032.4668,0.00336,4231.145,0.002194221
0.30811238,0.008229434,0.03755175,0.000722904,131.38982,0.0006266,326.76593,0.000879328,1036.1893,0.003396845,4479.2,0.002323293
0.32038555,0.008392519,0.03956378,0.000746409,138.6619,0.000661411,344.85156,0.000928179,1043.9474,0.0034745,4727.1123,0.002452365
0.32186443,0.00841196,0.040200796,0.000753754,145.92957,0.000696222,362.9262,0.000977031,1067.3369,0.003715804,4974.8735,0.002581437
0.36175302,0.008920477,0.043419924,0.000790203,153.19257,0.000731033,380.98932,0.001025882,1073.5815,0.003782073,5222.4766,0.002710509
0.4278492,0.009705136,0.052730247,0.000890146,160.45071,0.000765844,399.04025,0.001074734,1104.9845,0.004127364,5469.913,0.002839581
0.45452166,0.010004521,0.056408085,0.00092771,167.70374,0.000800655,417.07852,0.001123586,1164.2692,0.004835622,5717.176,0.002968652
0.46537742,0.010123861,0.08869277,0.001224346,174.95145,0.000835466,435.10352,0.001172437,1167.7068,0.004879016,5964.2563,0.003097724
0.4655778,0.010126052,0.09289,0.001259547,182.19359,0.000870277,453.11472,0.001221289,1169.3131,0.004899384,6211.148,0.003226796
0.482662,0.010311051,0.102536626,0.001338198,189.42995,0.000905088,471.1115,0.00127014,1177.0533,0.004998323,6457.842,0.003355868
0.48517478,0.010337985,0.10606734,0.001366261,196.6603,0.000939899,489.09335,0.001318992,1180.5013,0.005042823,6704.331,0.00348494
0.56838644,0.011193683,0.10617279,0.001367093,203.88441,0.00097471,507.0597,0.001367843,1207.837,0.005405061,6950.608,0.003614012
0.634477,0.011829689,0.11320682,0.001421927,211.10207,0.001009521,525.01,0.001416695,1216.4753,0.005523054,7196.6646,0.003743083
0.6777177,0.012228079,0.13140085,0.001557962,218.31305,0.001044333,542.94366,0.001465546,1236.5405,0.005803764,7442.4937,0.003872155
0.7644681,0.01299088,0.13514358,0.001585018,225.51714,0.001079144,560.8602,0.001514398,1245.8186,0.005936733,7688.088,0.004001227
0.79103714,0.01321578,0.14210844,0.001634608,232.7141,0.001113955,578.75903,0.001563249,1268.471,0.006269916,7933.439,0.004130299
0.92023355,0.014259375,0.15149626,0.001699986,239.90372,0.001148766,596.6396,0.001612101,1298.1149,0.006724556,8178.5396,0.004259371
0.9928832,0.014814242,0.15631524,0.001732935,247.08578,0.001183577,614.50134,0.001660953,1300.5371,0.00676265,8423.383,0.004388443
1.1126813,0.015686788,0.15907668,0.001751639,254.26007,0.001218388,632.34375,0.001709804,1319.8752,0.007071989,8667.961,0.004517515
1.1295341,0.015805706,0.16140549,0.001767315,261.42636,0.001253199,650.1663,0.001758656,1331.2018,0.007257501,8912.267,0.004646586
1.248601,0.01662188,0.16388293,0.001783896,268.58444,0.00128801,667.96844,0.001807507,1347.9655,0.007538006,9156.292,0.004775658
1.2819765,0.016843632,0.17174573,0.001835889,275.7341,0.001322821,685.7496,0.001856359,1362.1907,0.007781656,9400.03,0.00490473
1.3728074,0.017432978,0.17720687,0.00187146,282.87512,0.001357632,703.5093,0.00190521,1363.7096,0.007807979,9643.474,0.005033802
1.4283891,0.017784074,0.18132535,0.001898005,290.00726,0.001392443,721.24695,0.001954062,1366.9783,0.007864828,9886.616,0.005162874
1.4422164,0.017870357,0.19796827,0.002002982,297.13037,0.001427254,738.96204,0.002002913,1404.5472,0.008538278,10129.449,0.005291946
1.465794,0.018016536,0.20644706,0.002055145,304.2442,0.001462066,756.6541,0.002051765,1443.2968,0.009272276,10371.966,0.005421018
1.6145203,0.018912848,0.20844182,0.002067296,311.34854,0.001496877,774.3226,0.002100616,1451.377,0.009430475,10614.159,0.005550089
1.673942,0.019259406,0.2213673,0.002144967,318.44318,0.001531688,791.9669,0.002149468,1459.3777,0.009588891,10856.022,0.005679161
1.7460535,0.019671854,0.22247215,0.002151524,325.52792,0.001566499,809.5867,0.002198319,1492.3844,0.010261284,11097.548,0.005808233
1.7614483,0.0197588,0.22493777,0.002166111,332.60257,0.00160131,827.1813,0.002247171,1514.1718,0.010721998,11338.7295,0.005937305
1.8155026,0.020061133,0.23473543,0.002223473,339.6669,0.001636121,844.7502,0.002296022,1515.0212,0.010740236,11579.559,0.006066377
1.9127299,0.02059387,0.23602518,0.002230955,346.7207,0.001670932,862.293,0.002344874,1538.4032,0.011250447,11820.029,0.006195449
2.0729258,0.02144305,0.24565592,0.002286329,353.76382,0.001705743,879.80914,0.002393726,1553.5836,0.011590239,12060.136,0.00632452
2.097229,0.021568986,0.25388792,0.002332998,360.796,0.001740554,897.29816,0.002442577,1562.4703,0.011792311,12299.869,0.006453592
2.174554,0.021964913,0.2594188,0.002364025,367.81705,0.001775365,914.7595,0.002491429,1562.7928,0.011799688,12539.224,0.006582664
2.1855347,0.022020565,0.27036557,0.00242469,374.8268,0.001810176,932.19275,0.00254028,1564.2322,0.011832649,12778.192,0.006711736
2.200648,0.022096936,0.27125737,0.00242959,381.82504,0.001844988,949.59735,0.002589132,1590.7196,0.012450314,13016.769,0.006840808
2.2766507,0.022477098,0.30279493,0.002599059,388.81158,0.001879799,966.97284,0.002637983,1593.0607,0.01250592,13254.946,0.00696988
2.3363504,0.022771304,0.31163758,0.002645331,395.7862,0.00191461,984.31866,0.002686835,1593.7562,0.012522474,13492.718,0.007098951
2.349217,0.02283422,0.31238478,0.002649217,402.74875,0.001949421,1001.63446,0.002735686,1608.4385,0.012875335,13730.077,0.007228023
2.4674253,0.023404405,0.31464627,0.002660958,409.69897,0.001984232,1018.91974,0.002784538,1646.6797,0.01382553,13967.018,0.007357095
2.5573802,0.023829252,0.31956658,0.002686391,416.63675,0.002019043,1036.174,0.002833389,1651.5195,0.013949036,14203.532,0.007486167
2.6275723,0.024155622,0.32009104,0.002689093,423.56186,0.002053854,1053.3966,0.002882241,1653.6094,0.014002592,14439.615,0.007615239
2.853067,0.025175747,0.32473525,0.002712945,430.47412,0.002088665,1070.5874,0.002931092,1662.2751,0.014226144,14675.261,0.007744311
3.1724982,0.026554447,0.32476476,0.002713096,437.37335,0.002123476,1087.7457,0.002979944,1663.1649,0.014249231,14910.462,0.007873382
