Elevation [m],Deflection [m]
13.1,0.049999
12.615,0.04996561777828261
12.13,0.04987346496716735
11.644,0.04972398051629722
11.159,0.04951959467140225
10.674,0.049261877653984924
10.189,0.04895265658696816
9.704,0.048593765779409284
9.219,0.04818704647056694
8.733,0.04773336695001181
8.248,0.047236451702793086
7.763,0.0466972745149485
7.278,0.046117701780305456
6.793,0.04549960552890506
6.307,0.044843476630515834
5.822,0.044153900918614514
5.337,0.04343145286795983
4.852,0.0426780244433598
4.367,0.041895511932178296
3.881,0.04108411944838461
3.396,0.04024909341550796
2.911,0.03939069936925245
2.426,0.03851084824237528
1.941,0.0376114539614461
1.456,0.03669443317980521
0.97,0.03575976697832029
0.485,0.03481322626532769
0.0,0.033854826649286004
-0.5,0.03285647121181763
-1.0,0.031849764507066614
-1.5,0.030836710561831425
-2.0,0.029819230135825926
-2.5,0.02879915525502094
-3.0,0.02777822427819735
-3.5,0.02675807681220676
-4.0,0.025740248736348777
-4.5,0.02472607823868412
-5.0,0.023716840160053713
-5.5,0.022713887878345457
-6.0,0.0217185638465325
-6.5,0.02073219796597306
-7.0,0.01975610572598866
-7.5,0.018791586057600604
-8.0,0.01783991975764065
-8.5,0.016902367205691802
-9.0,0.015980166257091782
-9.5,0.015074530053613854
-10.0,0.014186644703095852
-10.5,0.013317667069636512
-11.0,0.012468722423326282
-11.5,0.011640902268216393
-12.0,0.010835262185687903
-12.5,0.010052819699061404
-13.0,0.009294552331896367
-13.5,0.008561395735537448
-14.0,0.007854242090451906
-14.5,0.00717393863212548
-15.0,0.0065212864062136845
-15.5,0.005897039276831054
-16.0,0.005301903342964029
-16.5,0.004736535172099698
-17.0,0.004201538150474952
-17.5,0.0036974727981966366
-18.0,0.003224864040667673
-18.5,0.002784205802869424
-19.0,0.0023759652395905413
-19.5,0.002000586555328244
-20.0,0.001658834305526122
-20.5,0.0013512398506040355
-21.0,0.0010775849738387337
-21.5,0.0008372662309622675
-22.0,0.0006293048653138125
-22.5,0.0004523503710455781
-23.0,0.0003047151664613753
-23.5,0.00018438207419265004
-24.0,8.902825693680418e-05
-24.5,1.603853315958565e-05
-25.0,-3.7548370093265896e-05
-25.5,-7.481083233802558e-05
-26.0,-9.851365343980613e-05
-26.5,-0.00011117688122588125
-27.0,-0.00011510842372444381
-27.5,-0.00011238806116016569
-28.0,-0.00010485970818670925
-28.5,-9.41288860062604e-05
-29.0,-8.156406488232143e-05
-29.5,-6.830072721156067e-05
-30.0,-5.524710638303214e-05
-30.5,-4.309066777256608e-05
-31.0,-3.229308254821039e-05
-31.5,-2.3067411230054063e-05
-32.0,-1.5448196551328336e-05
-32.5,-9.36088351611706e-06
-33.0,-4.663691026880231e-06
-33.5,-1.1778940620315374e-06
-34.0,1.2893786339679499e-06
-34.5,2.928720906346611e-06
-35.0,3.917268404383218e-06
-35.5,4.411684276693542e-06
-36.0,4.5443387004202936e-06
-36.5,4.41489075615081e-06
-37.0,4.10208469117978e-06
-37.5,3.675713025518316e-06
-38.0,3.19078476943961e-06
-38.5,2.6891017854312065e-06
-39.0,2.201023802834073e-06
-39.5,1.7472857257995447e-06
-40.0,1.3407656954333915e-06
-40.5,9.881325914507052e-07
-41.0,6.913271109443813e-07
-41.5,4.488512974050478e-07
-42.0,2.568576696767018e-07
-42.5,1.1004136395628265e-07
-43.0,2.347415555438521e-09
-43.5,-7.248898094955422e-08
-44.0,-1.2054815553365472e-07
-44.5,-1.4745523735298492e-07
-45.0,-1.5821088659885608e-07
-45.5,-1.571026507281556e-07
-46.0,-1.4767814231637342e-07
-46.5,-1.3276370057482311e-07
-47.0,-1.1451486549456098e-07
-47.5,-9.448768041296896e-08
-48.0,-7.37224139383373e-08
-48.5,-5.283365914899825e-08
-49.0,-3.210286404243543e-08
-49.5,-1.157113226668625e-08
-50.0,8.86841907522942e-09
