p[kN/m]@6m,y[m]@6m,p[kN/m]@11m,y[m]@11m,p[kN/m]@16m,y[m]@16m,p[kN/m]@24m,y[m]@24m,p[kN/m]@40m,y[m]@40m,p[kN/m]@49m,y[m]@49m
0,0,0,0,0,0,0,0,0,0,0,0
3.2,0.001,14.4,0.001,88.4,0.006,421.7,0.005,3233.3,0.003,3960.8,0.003
10.2,0.02,45.4,0.018,125,0.012,596.4,0.01,5770.8,0.006,7459.8,0.006
12.9,0.04,57.1,0.036,145.6,0.017,694.9,0.014,7384.1,0.008,9545.3,0.008
14.7,0.061,65.4,0.053,159,0.023,758.8,0.019,8795.5,0.011,11369.8,0.011
16.2,0.081,72,0.071,168.1,0.029,802.5,0.024,10073.6,0.014,13021.9,0.014
17.5,0.101,77.6,0.089,174.2,0.035,831.6,0.029,11254.5,0.017,14548.5,0.017
18.5,0.121,82.4,0.107,178,0.04,849.6,0.034,12360.3,0.019,15978,0.019
19.5,0.142,86.8,0.124,179.9,0.046,858.5,0.038,13405.7,0.022,17329.3,0.022
20.4,0.162,90.7,0.142,180.1,0.052,859.8,0.043,14400.9,0.025,18615.8,0.025
21.2,0.182,94.3,0.16,179.1,0.058,854.5,0.048,15353.6,0.028,19847.3,0.028
22,0.202,97.7,0.177,176.8,0.063,843.6,0.053,16269.6,0.031,21031.4,0.031
22.7,0.223,100.9,0.195,173.5,0.069,827.7,0.058,17153.5,0.033,22174,0.033
23.4,0.243,103.8,0.213,125.1,0.115,597,0.096,30190.1,0.075,39026.2,0.075
32.4,0.648,144,0.568,76.7,0.161,366,0.134,30190.1,2.075,39026.2,2.075
32.4,1.215,144,1.065,28.3,0.207,135,0.173,30190.1,4.075,39026.2,4.075
32.4,1.62,144,1.42,28.3,2.304,135,1.92,30190.1,6.075,39026.2,6.075
