p[kN/m]@6m,y[m]@6m,p[kN/m]@11m,y[m]@11m,p[kN/m]@16m,y[m]@16m,p[kN/m]@24m,y[m]@24m,p[kN/m]@40m,y[m]@40m,p[kN/m]@49m,y[m]@49m
0,0,0,0,0,0,0,0,0,0,0,0
5.29E-05,4.40E-05,0.003227449,5.25E-05,0.01366648,2.47E-05,46.93304,4.00E-05,34.90133,3.01E-05,79.96965,5.62E-05
0.000983513,0.000219996,0.03456169,0.000262684,0.10782006,0.000123349,79.824974,0.0002,69.80154,6.01E-05,159.93674,0.000112461
0.002309698,0.000351993,0.06907299,0.000420294,0.19708914,0.000197359,93.2177,0.00032,104.69951,9.02E-05,239.89868,0.000168691
0.003464081,0.000439992,0.09595727,0.000525368,0.26244295,0.000246698,100.341064,0.0004,139.59412,0.00012025,319.85297,0.000224922
0.012201019,0.000879983,0.26641634,0.001050736,0.63880783,0.000493397,126.13006,0.0008,174.48425,0.000150312,399.79697,0.000281152
0.0644521,0.002199958,1.0275747,0.002626839,2.070512,0.001233492,170.66278,0.002,209.3688,0.000180375,479.72815,0.000337382
0.1513604,0.003519932,2.0536516,0.004202942,3.7847824,0.001973588,199.29591,0.0032,244.24664,0.000210437,559.644,0.000393613
0.18746865,0.003959924,2.4427867,0.00472831,4.402394,0.002220286,207.19473,0.0036,279.11667,0.000240499,639.5419,0.000449843
0.22701006,0.004399915,2.8529644,0.005253678,5.0397973,0.002466984,214.52539,0.004,313.97772,0.000270562,719.4193,0.000506074
0.2273099,0.004403114,3.438346,0.005963225,5.5166883,0.002647047,234.99399,0.00527222,348.82874,0.000300624,799.2737,0.000562304
0.2550771,0.004691538,3.772764,0.006351015,5.8023496,0.002753252,240.01465,0.005621014,383.66858,0.000330687,879.1025,0.000618534
0.45811135,0.006476089,5.008928,0.007698242,8.646465,0.003756897,242.21967,0.005778964,418.49615,0.000360749,958.9031,0.000674765
0.57305765,0.007325522,5.533042,0.008236224,8.981057,0.0038697,254.80968,0.006738084,453.31036,0.000390812,1038.6731,0.000730995
