Elevation [m],p_mobilized [kN/m],p_max [kN/m]
13.1,0.0,0.0
12.615,0.0,0.0
12.615,0.0,0.0
12.13,0.0,0.0
12.13,0.0,0.0
11.644,0.0,0.0
11.644,0.0,0.0
11.159,0.0,0.0
11.159,0.0,0.0
10.674,0.0,0.0
10.674,0.0,0.0
10.189,0.0,0.0
10.189,0.0,0.0
9.704,0.0,0.0
9.704,0.0,0.0
9.219,0.0,0.0
9.219,0.0,0.0
8.733,0.0,0.0
8.733,0.0,0.0
8.248,0.0,0.0
8.248,0.0,0.0
7.763,0.0,0.0
7.763,0.0,0.0
7.278,0.0,0.0
7.278,0.0,0.0
6.793,0.0,0.0
6.793,0.0,0.0
6.307,0.0,0.0
6.307,0.0,0.0
5.822,0.0,0.0
5.822,0.0,0.0
5.337,0.0,0.0
5.337,0.0,0.0
4.852,0.0,0.0
4.852,0.0,0.0
4.367,0.0,0.0
4.367,0.0,0.0
3.881,0.0,0.0
3.881,0.0,0.0
3.396,0.0,0.0
3.396,0.0,0.0
2.911,0.0,0.0
2.911,0.0,0.0
2.426,0.0,0.0
2.426,0.0,0.0
1.941,0.0,0.0
1.941,0.0,0.0
1.456,0.0,0.0
1.456,0.0,0.0
0.97,0.0,0.0
0.97,0.0,0.0
0.485,0.0,0.0
0.485,0.0,0.0
0.0,0.0,0.0
0.0,22.97082957729585,72.0
-0.5,24.639924162595854,78.0
-0.5,24.637072307585914,78.0
-1.0,26.25936026590406,84.0
-1.0,26.19939013223887,84.0
-1.5,27.828271749638517,90.0
-1.5,27.83818782902302,90.0
-2.0,29.369352252962553,96.0
-2.0,29.36865090016867,96.0
-2.5,30.84802552221245,102.0
-2.5,30.84639055837692,102.0
-3.0,32.28006804870521,108.0
-3.0,32.28035852560338,108.0
-3.5,33.65482436192504,114.0
-3.5,33.65375358263569,114.0
-4.0,34.939157381226366,120.0
-4.0,2.386123219899866,89.870964
-4.5,2.776144214966859,99.57545
-4.5,2.770423959247366,99.57545
-5.0,3.1936719262491637,110.80632
-5.0,3.193536338481302,110.80632
-5.5,3.6576790130263532,123.60741
-5.5,3.6617671231789513,123.60741
-6.0,4.158131829080498,123.613365
-6.0,4.1510777097588045,123.613365
-6.5,4.682021276860324,123.613365
-6.5,4.679927637057682,123.613365
-7.0,5.240391310861646,123.613365
-7.0,5.239764395412403,123.613365
-7.5,5.826550550150627,123.613365
-7.5,5.82650728535743,123.613365
-8.0,6.440876690455931,123.613365
-8.0,6.4388478432181255,123.613365
-8.5,7.06586199728408,123.613365
-8.5,7.063601631370365,123.613365
-9.0,7.729379090517332,123.613365
-9.0,7.703659957334477,123.613365
-9.5,8.346262545980753,123.613365
-9.5,8.348129393984852,123.613365
-10.0,8.998775079986075,123.613365
-10.0,8.990218137644856,123.613365
-10.5,9.626867971937726,123.613365
-10.5,9.625372210884791,123.613365
-11.0,10.243465493545937,123.613365
-11.0,10.277918333618256,123.613365
-11.5,10.834654944221896,123.613365
-11.5,10.83479206346663,123.613365
-12.0,11.399672727287617,123.613365
-12.0,11.409188820121383,123.613365
-12.5,11.912199142732073,123.613365
-12.5,11.908129817158471,123.613365
-13.0,12.378901770314156,123.613365
-13.0,12.369145560566066,123.613365
-13.5,12.784666439243448,123.613365
-13.5,12.768604875375694,123.613365
-14.0,13.098704628761059,123.613365
-14.0,13.099189897919047,123.613365
-14.5,13.343233409474816,123.613365
-14.5,13.343815522791767,123.613365
-15.0,13.499836537687207,123.613365
-15.0,13.50759445690753,123.613365
-15.5,13.563801604613653,123.613365
-15.5,13.619276328658342,123.613365
-16.0,13.514160165645173,123.613365
-16.0,13.518382905116718,123.613365
-16.5,11.703616212159528,123.613365
-16.5,11.696172764624679,123.613365
-17.0,10.044568694222733,123.613365
-17.0,10.036265541883555,123.613365
-17.5,8.515693036444993,123.613365
-17.5,8.513497120546049,123.613365
-18.0,7.1561005024074635,123.613365
-18.0,7.143356633784382,123.613365
-18.5,5.915341782815907,123.613365
-18.5,5.915079641853575,123.613365
-19.0,4.827878686699856,123.613365
-19.0,4.827878686699856,123.613365
-19.5,3.871713536849889,123.613365
-19.5,129.78934433698848,696.7943
-20.0,124.43230204839755,721.2943
-20.0,124.43230204839755,721.2943
-20.5,119.34525752316486,745.7943
-20.5,119.34525752316486,745.7943
-21.0,114.70687629401559,770.2943
-21.0,114.70687629401559,770.2943
-21.5,110.59893245317488,794.7943
-21.5,110.59893245317488,794.7943
-22.0,102.98412965434876,819.2943
-22.0,102.98412965434876,819.2943
-22.5,95.52652958527484,843.7943
-22.5,95.52652958527484,843.7943
-23.0,86.77179645818862,868.2943
-23.0,86.77179645818862,868.2943
-23.5,74.73944755837398,892.7943
-23.5,74.73944755837398,892.7943
-24.0,57.092243711690564,917.2943
-24.0,57.092243711690564,917.2943
-24.5,19.321954264355995,941.7943
-24.5,19.321954264355995,941.7943
-25.0,46.80297991933643,966.2943
-25.0,46.80297991933643,966.2943
-25.5,58.550005160224394,990.7943
-25.5,58.550005160224394,990.7943
-26.0,65.43474330714805,1015.2943
-26.0,65.43474330714805,1015.2943
-26.5,69.99652560844939,1039.7943
-26.5,69.99652560844939,1039.7943
-27.0,72.60441122296096,1064.2943
-27.0,72.60441122296096,1064.2943
-27.5,73.6225603202405,1088.7943
-27.5,73.6225603202405,1088.7943
-28.0,73.40201764294765,1113.2943
-28.0,73.40201764294765,1113.2943
-28.5,72.27361563822622,1137.7943
-28.5,72.27361563822622,1137.7943
-29.0,70.54178329872643,1162.2943
-29.0,70.54178329872643,1162.2943
-29.5,68.47916431060591,1186.7943
-29.5,68.47916431060591,1186.7943
-30.0,66.32184157274918,1211.2943
-30.0,66.32184157274918,1211.2943
-30.5,64.26494322509583,1235.7943
-30.5,64.26494322509583,1235.7943
-31.0,52.90166847848437,1260.0
-31.0,52.90166847848437,1260.0
-31.5,37.85103700173364,1260.0
-31.5,37.85103700173364,1260.0
-32.0,25.408248451929232,1260.0
-32.0,25.408248451929232,1260.0
