Depth,SPT-N,%Siltstone,%Gravel,%Sand,%Fines,LL,PL,test1,test2,LL-PL,PI,test3,MC
0,4,,0,3.205589233,96.79441077,#N/A,#N/A,,,#N/A,#N/A,#N/A,112
0.1,4,,0,3.205589233,96.79441077,#N/A,#N/A,,,#N/A,#N/A,#N/A,112
0.2,4,,0,3.205589233,96.79441077,#N/A,#N/A,,,#N/A,#N/A,#N/A,112
0.3,4,,0,3.205589233,96.79441077,#N/A,#N/A,,,#N/A,#N/A,#N/A,112
0.4,4,,0,3.205589233,96.79441077,#N/A,#N/A,,,#N/A,#N/A,#N/A,112
0.5,4,,0,3.205589233,96.79441077,#N/A,#N/A,,,#N/A,#N/A,#N/A,112
0.6,4,,0,3.205589233,96.79441077,#N/A,#N/A,,,#N/A,#N/A,#N/A,112
0.7,4,,0,3.205589233,96.79441077,#N/A,#N/A,,,#N/A,#N/A,#N/A,112
0.8,4,,0,3.205589233,96.79441077,#N/A,#N/A,,,#N/A,#N/A,#N/A,112
0.9,4,,0,3.205589233,96.79441077,#N/A,#N/A,,,#N/A,#N/A,#N/A,112
1,3,,0,2.62464425,97.37535575,61,28,61,,28,32,44,20
1.1,3,,0,2.62464425,97.37535575,#N/A,#N/A,,61,61,#N/A,#N/A,20
1.2,3,,0,2.62464425,97.37535575,#N/A,#N/A,,,#N/A,#N/A,#N/A,20
1.3,3,,0,2.62464425,97.37535575,#N/A,#N/A,,,#N/A,#N/A,#N/A,20
1.4,3,,0,2.62464425,97.37535575,#N/A,#N/A,,,#N/A,#N/A,#N/A,20
1.5,3,,0,2.62464425,97.37535575,#N/A,#N/A,,,#N/A,#N/A,#N/A,20
1.6,3,,0,2.62464425,97.37535575,#N/A,#N/A,,,#N/A,#N/A,#N/A,20
1.7,3,,0,2.62464425,97.37535575,#N/A,#N/A,,,#N/A,#N/A,#N/A,20
1.8,3,,0,2.62464425,97.37535575,#N/A,#N/A,,,#N/A,#N/A,#N/A,20
1.9,3,,0,2.62464425,97.37535575,#N/A,#N/A,,,#N/A,#N/A,#N/A,20
2,4,,0,2.74376913,97.25623087,53,21,53,,21,31,37,124
