diameter[m],length[m],factored-axial-load[kN],allpile-lateral-load[kN],openpile-lateral-load[kN]
1.5,30,1820,151,152.4224578
1.5,35,2165,154,152.0533613
1.5,40,4960,148,149.0803212
1.5,45,6685,145.5,147.2158582
1.5,50,8500,145.5,145.2254784
2,30,2595,353,331.0226418
2,35,3055,357,330.6184174
2,40,7410,326,326.6010821
2,45,9710,323,324.4371141
2,50,12125,322,322.1376521
2.5,30,3455,715,601.3690418
2.5,35,4030,723,601.1052826
2.5,40,10260,602,595.792802
2.5,45,13135,598,593.3466575
2.5,50,16155,596,591.1916313
