Depth,pier 1 seismic,pier 1 static,pier 3 seismic,pier 3 static
0.01,-0.836686343,20.12194202,-6.600000412,6.6
0.02,-0.836686343,20.12194202,-6.600000412,6.6
0.03,-0.836686343,20.12194202,-6.600000412,6.6
0.04,-0.836686343,20.12194202,-6.600000412,6.6
0.05,-0.836686343,20.12194202,-6.600000412,6.6
0.06,-0.836686343,20.12194202,-6.600000412,6.6
0.07,-0.836686343,20.12194202,-6.600000412,6.6
0.08,-0.836686343,20.12194202,-6.600000412,6.6
0.09,-0.836686343,20.12194202,-6.600000412,6.6
0.1,-0.836686343,20.12194202,-6.600000412,6.6
0.11,-0.836686343,20.12194202,-6.600000412,6.6
0.12,-0.836686343,20.12194202,-6.600000412,6.6
0.13,-0.836686343,20.12194202,-6.600000412,6.6
0.14,-0.836686343,20.12194202,-6.600000412,6.6
0.15,-0.836686343,20.12194202,-6.600000412,6.6
0.16,-0.836686343,20.12194202,-6.600000412,6.6
0.17,-0.836686343,20.12194202,-6.600000412,6.6
0.18,-0.836686343,20.12194202,-6.600000412,6.6
0.19,-0.836686343,20.12194202,-6.600000412,6.6
0.2,-0.836686343,20.12194202,-6.600000412,6.6
0.21,-0.836686343,20.12194202,-6.600000412,6.6
0.22,-0.836686343,20.12194202,-6.600000412,6.6
0.23,-0.836686343,20.12194202,-6.600000412,6.6
0.24,-0.836686343,20.12194202,-6.600000412,6.6
0.25,-0.836686343,20.12194202,-6.600000412,6.6
0.26,-0.836686343,20.12194202,-6.600000412,6.6
0.27,-0.836686343,20.12194202,-6.600000412,6.6
0.28,-0.836686343,20.12194202,-6.600000412,6.6
0.29,-0.836686343,20.12194202,-6.600000412,6.6
0.3,-0.836686343,20.12194202,-6.600000412,6.6
0.31,-0.836686343,20.12194202,-6.600000412,6.6
0.32,-0.836686343,20.12194202,-6.600000412,6.6
0.33,-0.836686343,20.12194202,-6.600000412,6.6
0.34,-0.836686343,20.12194202,-6.600000412,6.6
0.35,-0.836686343,20.12194202,-6.600000412,6.6
0.36,-0.836686343,20.12194202,-6.600000412,6.6
0.37,-0.836686343,20.12194202,-6.600000412,6.6
0.38,-0.836686343,20.12194202,-6.600000412,6.6
0.39,-0.836686343,20.12194202,-6.600000412,6.6
0.4,-0.836686343,20.12194202,-6.600000412,6.6
0.41,-0.836686343,20.12194202,-6.600000412,6.6
0.42,-0.836686343,20.12194202,-6.600000412,6.6
0.43,-0.836686343,20.12194202,-6.600000412,6.6
0.44,-0.836686343,20.12194202,-6.600000412,6.6
0.45,-0.836686343,20.12194202,-6.600000412,6.6
0.46,-0.836686343,20.12194202,-6.600000412,6.6
0.47,-0.836686343,20.12194202,-6.600000412,6.6
0.48,-0.836686343,20.12194202,-6.600000412,6.6
0.49,-0.836686343,20.12194202,-6.600000412,6.6
0.5,-0.836686343,20.12194202,-6.600000412,6.6
0.51,-0.836686343,20.12194202,-6.600000412,6.6
0.52,-0.836686343,20.12194202,-6.600000412,6.6
0.53,-0.836686343,20.12194202,-6.600000412,6.6
0.54,-0.836686343,20.12194202,-6.600000412,6.6
0.55,-0.836686343,20.12194202,-6.600000412,6.6
0.56,-0.836686343,20.12194202,-6.600000412,6.6
0.57,-0.836686343,20.12194202,-6.600000412,6.6
0.58,-0.836686343,20.12194202,-6.600000412,6.6
0.59,-0.836686343,20.12194202,-6.600000412,6.6
0.6,-0.836686343,20.12194202,-6.600000412,6.6
0.61,-0.836686343,20.12194202,-6.600000412,6.6
0.62,-0.836686343,20.12194202,-6.600000412,6.6
0.63,-0.836686343,20.12194202,-6.600000412,6.6
0.64,-0.836686343,20.12194202,-6.600000412,6.6
0.65,-0.836686343,20.12194202,-6.600000412,6.6
0.66,-0.836686343,20.12194202,-6.600000412,6.6
0.67,-0.836686343,20.12194202,-6.600000412,6.6
0.68,-0.836686343,20.12194202,-6.600000412,6.6
0.69,-0.836686343,20.12194202,-6.600000412,6.6
0.7,-0.836686343,20.12194202,-6.600000412,6.6
0.71,-0.836686343,20.12194202,-6.600000412,6.6
